artist,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list
Highland Peak,72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,38.0,acoustic_chill,38,['acoustic_chill']
Motohiro Hata,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,54.0,j-acoustic j-pop j-rock japanese_singer-songwriter,61,"['j-acoustic', 'j-pop', 'j-rock', 'japanese_singer-songwriter']"
Andrew Belle,2DHDuADAHoUW6n0z80RLQF,Pieces,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,53.0,acoustic_pop,59,['acoustic_pop']
Ron Pope,5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,54.0,acoustic_pop neo_mellow piano_rock viral_pop,72,"['acoustic_pop', 'neo_mellow', 'piano_rock', 'viral_pop']"
Adam Christopher,2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,47.0,acoustic_cover,51,['acoustic_cover']
Andrew Belle,6xJOhSm4SvZwzy3uhWz26O,The Enemy,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,53.0,acoustic_pop,56,['acoustic_pop']
Aron Wright,7lLKxcNeJtDTWVRKHovLEC,Build It Better,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,42.0,acoustic_pop deep_acoustic_pop,53,"['acoustic_pop', 'deep_acoustic_pop']"
Chord Overstreet,25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,62.0,acoustic_pop,27,['acoustic_pop']
Sara Bareilles,4oa14QBfWRDfJy2agySy0L,Gravity,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,64.0,acoustic_pop ectofolk lilith neo_mellow pop_rock post-teen_pop viral_pop,68,"['acoustic_pop', 'ectofolk', 'lilith', 'neo_mellow', 'pop_rock', 'post-teen_pop', 'viral_pop']"
Chord Overstreet,2gRKq9rIC5i1zuxp06zJWH,What's Left of You,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,62.0,acoustic_pop,65,['acoustic_pop']
